foodId,Nama,Tipe,Tipe 1,Tipe 2
1,Sosis Bakar,ayam-daging,ayam,daging
2,Ngohiong Ayam Udang,ayam-daging,ayam,daging
3,Rawon Ayam,ayam-daging,ayam,daging
4,Usus Goreng Crispy,ayam-daging,ayam,daging
5,Ceker Rica Rica,ayam-daging,ayam,daging
6,Ceker Kecap Pedas,ayam-daging,ayam,daging
7,Ayam Suwir Kecap,ayam-daging,ayam,daging
8,Burung Puyuh Bakar,ayam-daging,ayam,daging
9,Dangkot Ayam,ayam-daging,ayam,daging
10,Ayam Bumbu Merah,ayam-daging,ayam,daging
11,Pempek Ayam,ayam-daging,ayam,daging
12,Ngohiong Ayam,ayam-daging,ayam,daging
13,Rica Rica Bebek,ayam-daging,ayam,daging
14,Ayam Rujak Tanpa Santan,ayam-daging,ayam,daging
15,Daging Goreng,ayam-daging,ayam,daging
16,Asam Pedas (Padeh) Daging,ayam-daging,ayam,daging
17,Tongseng Kambing Tanpa Santan,ayam-daging,ayam,daging
18,Saksang Ayam,ayam-daging,ayam,daging
19,Ayam Goreng Madu,ayam-daging,ayam,daging
20,Ayam Kecap,ayam-daging,ayam,daging
21,Ayam Geprek Keju,ayam-daging,ayam,daging
22,Chicken Basil Thai,ayam-daging,ayam,daging
23,Dumpling Ayam Kukus,ayam-daging,ayam,daging
24,Tangsuyuk Sapi,ayam-daging,ayam,daging
25,Kekian Ayam Udang,ayam-daging,ayam,daging
26,Yakitori Ayam,ayam-daging,ayam,daging
27,Ayam Telur Asin,ayam-daging,ayam,daging
28,Ayam Kuah Hitam,ayam-daging,ayam,daging
29,Korean Spicy Chicken,ayam-daging,ayam,daging
30,Nasi Jinggo,ayam-daging,ayam,daging
31,Bubur Ayam Quaker Oat,ayam-daging,ayam,daging
32,Lidah Sapi Cabe hijau,ayam-daging,ayam,daging
33,Ayam Goreng Oatmeal,ayam-daging,ayam,daging
34,Burrito Ayam,ayam-daging,ayam,daging
35,Ayam Kecap Kuah,ayam-daging,ayam,daging
36,Ayam Kecap Pedas,ayam-daging,ayam,daging
37,Ayam Bumbu Rajang (Khas Lombok),ayam-daging,ayam,daging
38,Gore Gore,ayam-daging,ayam,daging
39,Bakso Keju,ayam-daging,ayam,daging
40,Tum Ayam,ayam-daging,ayam,daging
41,Ayam Bakar Lumajang,ayam-daging,ayam,daging
42,Ayam Bakar Bumbu Rujak,ayam-daging,ayam,daging
43,Ayam Panggang Pecel,ayam-daging,ayam,daging
44,Nasi Briyani Ayam,ayam-daging,ayam,daging
45,Ayam Kodok,ayam-daging,ayam,daging
46,Sepat Ayam,ayam-daging,ayam,daging
47,Tahu Campur,ayam-daging,ayam,daging
48,Ayam Kecap Jahe,ayam-daging,ayam,daging
49,Daging Bumbu Bali,ayam-daging,ayam,daging
50,Ayam Bakar Klaten,ayam-daging,ayam,daging
51,Ayam Goreng Cabe,ayam-daging,ayam,daging
52,Ayam Kare Jawa,ayam-daging,ayam,daging
53,Ayam Goreng Sasando,ayam-daging,ayam,daging
54,Kalio Daging Sapi,ayam-daging,ayam,daging
55,Tumis Ayam Cincang Nanas Paprika,ayam-daging,ayam,daging
56,Tim Telur Daging,ayam-daging,ayam,daging
57,Sate Ponorogo,ayam-daging,ayam,daging
58,Ayam Rebus Bumbu,ayam-daging,ayam,daging
59,Ayam Saus Inggris,ayam-daging,ayam,daging
60,Ayam Tangkap,ayam-daging,ayam,daging
61,Nasi Bebek,ayam-daging,ayam,daging
62,Sayap Ayam Isi,ayam-daging,ayam,daging
63,Sop Buntut Bakar,ayam-daging,ayam,daging
64,Siomay Udang Kuah Kaldu,ayam-daging,ayam,daging
65,Batagor Kuah,ayam-daging,ayam,daging
66,Ayam Goreng Bawang,ayam-daging,ayam,daging
67,Ayam Goreng Terasi,ayam-daging,ayam,daging
68,Ayam Suwir Cabe Ijo,ayam-daging,ayam,daging
69,Ayam Panggang Madu,ayam-daging,ayam,daging
70,Ayam Panggang Lada Hitam,ayam-daging,ayam,daging
71,Dendeng Lambok,ayam-daging,ayam,daging
72,Oseng Tahu Udang,ayam-daging,ayam,daging
73,Pallu Basa,ayam-daging,ayam,daging
74,Egg Chicken Roll,ayam-daging,ayam,daging
75,Itiak Lado Mudo (Bebek Cabe Ijo),ayam-daging,ayam,daging
76,Tengkleng,ayam-daging,ayam,daging
77,Sate Padang,ayam-daging,ayam,daging
78,Ayam Jerit,ayam-daging,ayam,daging
79,Tumis Daging Sapi Cabe Ijo,ayam-daging,ayam,daging
80,Kalio Ayam,ayam-daging,ayam,daging
81,Iga Penyet,ayam-daging,ayam,daging
82,Sambal Goreng Hati Sapi,ayam-daging,ayam,daging
83,Ayam Pelalah,ayam-daging,ayam,daging
84,Krengsengan Daging Sapi,ayam-daging,ayam,daging
85,Ayam Bekakak,ayam-daging,ayam,daging
86,Ekkado,ayam-daging,ayam,daging
87,Gadon Daging,ayam-daging,ayam,daging
